date,price_rupees_per_kg,volume_quintals,promo_flag,year,month,day_of_week,day_of_year,week_of_year
2022-01-01,29.91,5558.83,0,2022,1,5,1,52
2022-01-02,31.77,5163.28,0,2022,1,6,2,52
2022-01-03,33.83,5464.17,0,2022,1,0,3,1
2022-01-04,34.32,4972.38,0,2022,1,1,4,1
2022-01-05,33.5,4933.86,0,2022,1,2,5,1
2022-01-06,34.85,5015.68,0,2022,1,3,6,1
2022-01-07,31.87,5187.07,0,2022,1,4,7,1
2022-01-08,30.93,5004.75,0,2022,1,5,8,1
2022-01-09,30.39,5081.79,0,2022,1,6,9,1
2022-01-10,30.79,4842.33,0,2022,1,0,10,2
2022-01-11,31.79,5030.33,0,2022,1,1,11,2
2022-01-12,31.31,5387.63,0,2022,1,2,12,2
2022-01-13,29.78,5219.57,0,2022,1,3,13,2
2022-01-14,31.41,5482.32,0,2022,1,4,14,2
2022-01-15,30.6,5164.6,0,2022,1,5,15,2
2022-01-16,30.4,4800.3,0,2022,1,6,16,2
2022-01-17,26.44,7004.09,1,2022,1,0,17,3
2022-01-18,30.26,5035.09,0,2022,1,1,18,3
2022-01-19,29.78,5190.78,0,2022,1,2,19,3
2022-01-20,30.88,5577.22,0,2022,1,3,20,3
2022-01-21,26.71,6352.45,1,2022,1,4,21,3
2022-01-22,30.97,5250.81,0,2022,1,5,22,3
2022-01-23,31.0,5188.04,0,2022,1,6,23,3
2022-01-24,33.28,5296.1,0,2022,1,0,24,4
2022-01-25,32.56,5378.4,0,2022,1,1,25,4
2022-01-26,32.51,5203.46,0,2022,1,2,26,4
2022-01-27,33.31,4976.55,0,2022,1,3,27,4
2022-01-28,28.95,6850.31,1,2022,1,4,28,4
2022-01-29,30.95,5602.99,0,2022,1,5,29,4
2022-01-30,30.31,5226.35,0,2022,1,6,30,4
2022-01-31,26.77,6719.07,1,2022,1,0,31,5
2022-02-01,29.24,5404.27,0,2022,2,1,32,5
2022-02-02,30.73,5225.23,0,2022,2,2,33,5
2022-02-03,30.46,4825.9,0,2022,2,3,34,5
2022-02-04,31.59,5242.39,0,2022,2,4,35,5
2022-02-05,31.91,4750.45,0,2022,2,5,36,5
2022-02-06,32.34,5245.19,0,2022,2,6,37,5
2022-02-07,33.54,4833.63,0,2022,2,0,38,6
2022-02-08,32.71,5125.42,0,2022,2,1,39,6
2022-02-09,33.85,5174.72,0,2022,2,2,40,6
2022-02-10,35.96,5688.12,0,2022,2,3,41,6
2022-02-11,35.51,5197.45,0,2022,2,4,42,6
2022-02-12,33.39,5489.83,0,2022,2,5,43,6
2022-02-13,32.04,5709.4,0,2022,2,6,44,6
2022-02-14,31.53,5320.51,0,2022,2,0,45,7
2022-02-15,30.52,5309.52,0,2022,2,1,46,7
2022-02-16,29.12,4974.14,0,2022,2,2,47,7
2022-02-17,29.75,5227.32,0,2022,2,3,48,7
2022-02-18,29.56,5055.13,0,2022,2,4,49,7
2022-02-19,29.98,5130.43,0,2022,2,5,50,7
2022-02-20,31.75,5723.65,0,2022,2,6,51,7
2022-02-21,30.85,5241.66,0,2022,2,0,52,8
2022-02-22,28.83,5045.5,0,2022,2,1,53,8
2022-02-23,28.66,5729.32,0,2022,2,2,54,8
2022-02-24,30.38,5517.52,0,2022,2,3,55,8
2022-02-25,31.56,5474.4,0,2022,2,4,56,8
2022-02-26,32.28,4534.25,0,2022,2,5,57,8
2022-02-27,31.22,5773.72,0,2022,2,6,58,8
2022-02-28,32.7,4947.37,0,2022,2,0,59,9
2022-03-01,34.24,5271.19,0,2022,3,1,60,9
2022-03-02,32.98,5858.12,0,2022,3,2,61,9
2022-03-03,33.24,5734.84,0,2022,3,3,62,9
2022-03-04,36.65,4624.11,0,2022,3,4,63,9
2022-03-05,35.03,4565.05,0,2022,3,5,64,9
2022-03-06,32.56,5551.32,0,2022,3,6,65,9
2022-03-07,35.53,5015.9,0,2022,3,0,66,10
2022-03-08,37.3,4734.61,0,2022,3,1,67,10
2022-03-09,36.17,5127.72,0,2022,3,2,68,10
2022-03-10,35.89,4906.52,0,2022,3,3,69,10
2022-03-11,33.99,5260.68,0,2022,3,4,70,10
2022-03-12,34.58,5041.19,0,2022,3,5,71,10
2022-03-13,36.52,5140.62,0,2022,3,6,72,10
2022-03-14,35.22,4720.51,0,2022,3,0,73,11
2022-03-15,36.33,5360.67,0,2022,3,1,74,11
2022-03-16,36.38,5140.5,0,2022,3,2,75,11
2022-03-17,36.46,5120.82,0,2022,3,3,76,11
2022-03-18,34.82,4673.76,0,2022,3,4,77,11
2022-03-19,33.77,5571.59,0,2022,3,5,78,11
2022-03-20,30.71,5210.37,0,2022,3,6,79,11
2022-03-21,30.43,5446.79,0,2022,3,0,80,12
2022-03-22,32.8,5013.18,0,2022,3,1,81,12
2022-03-23,31.31,5262.72,0,2022,3,2,82,12
2022-03-24,30.52,5313.34,0,2022,3,3,83,12
2022-03-25,32.14,4296.89,0,2022,3,4,84,12
2022-03-26,33.01,5274.44,0,2022,3,5,85,12
2022-03-27,34.15,5632.22,0,2022,3,6,86,12
2022-03-28,32.3,5297.1,0,2022,3,0,87,13
2022-03-29,36.74,4625.7,0,2022,3,1,88,13
2022-03-30,34.34,5227.94,0,2022,3,2,89,13
2022-03-31,34.89,5323.59,0,2022,3,3,90,13
2022-04-01,32.69,6702.03,1,2022,4,4,91,13
2022-04-02,33.65,5045.41,0,2022,4,5,92,13
2022-04-03,34.1,4972.22,0,2022,4,6,93,13
2022-04-04,35.15,4918.55,0,2022,4,0,94,14
2022-04-05,34.99,5209.65,0,2022,4,1,95,14
2022-04-06,37.36,4459.95,0,2022,4,2,96,14
2022-04-07,37.43,4766.83,0,2022,4,3,97,14
2022-04-08,35.75,5441.08,0,2022,4,4,98,14
2022-04-09,31.56,7172.62,1,2022,4,5,99,14
2022-04-10,36.58,4477.61,0,2022,4,6,100,14
2022-04-11,34.88,4666.69,0,2022,4,0,101,15
2022-04-12,36.32,4852.74,0,2022,4,1,102,15
2022-04-13,37.43,5146.05,0,2022,4,2,103,15
2022-04-14,35.95,4404.28,0,2022,4,3,104,15
2022-04-15,37.63,4852.25,0,2022,4,4,105,15
2022-04-16,34.77,4869.2,0,2022,4,5,106,15
2022-04-17,35.68,5363.76,0,2022,4,6,107,15
2022-04-18,35.71,4461.55,0,2022,4,0,108,16
2022-04-19,35.52,5001.77,0,2022,4,1,109,16
2022-04-20,33.73,4945.41,0,2022,4,2,110,16
2022-04-21,32.79,5551.33,0,2022,4,3,111,16
2022-04-22,35.95,5131.82,0,2022,4,4,112,16
2022-04-23,37.56,4696.13,0,2022,4,5,113,16
2022-04-24,38.02,5105.02,0,2022,4,6,114,16
2022-04-25,38.7,4698.19,0,2022,4,0,115,17
2022-04-26,39.13,5093.09,0,2022,4,1,116,17
2022-04-27,37.8,4788.92,0,2022,4,2,117,17
2022-04-28,37.56,5188.48,0,2022,4,3,118,17
2022-04-29,35.26,5117.7,0,2022,4,4,119,17
2022-04-30,35.89,5933.54,0,2022,4,5,120,17
2022-05-01,38.41,4813.69,0,2022,5,6,121,17
2022-05-02,37.57,4986.41,0,2022,5,0,122,18
2022-05-03,39.66,4623.03,0,2022,5,1,123,18
2022-05-04,39.87,4757.11,0,2022,5,2,124,18
2022-05-05,37.93,4042.95,0,2022,5,3,125,18
2022-05-06,37.09,5035.33,0,2022,5,4,126,18
2022-05-07,35.61,6724.0,1,2022,5,5,127,18
2022-05-08,40.87,4825.32,0,2022,5,6,128,18
2022-05-09,41.1,4300.99,0,2022,5,0,129,19
2022-05-10,40.68,4475.63,0,2022,5,1,130,19
2022-05-11,41.07,3967.54,0,2022,5,2,131,19
2022-05-12,42.28,4929.66,0,2022,5,3,132,19
2022-05-13,43.93,4251.32,0,2022,5,4,133,19
2022-05-14,45.06,4488.42,0,2022,5,5,134,19
2022-05-15,44.0,4503.74,0,2022,5,6,135,19
2022-05-16,42.33,5080.06,0,2022,5,0,136,20
2022-05-17,41.51,4700.27,0,2022,5,1,137,20
2022-05-18,41.38,4923.6,0,2022,5,2,138,20
2022-05-19,41.18,4854.74,0,2022,5,3,139,20
2022-05-20,42.14,5050.61,0,2022,5,4,140,20
2022-05-21,43.96,4480.1,0,2022,5,5,141,20
2022-05-22,37.26,6792.66,1,2022,5,6,142,20
2022-05-23,43.67,3970.74,0,2022,5,0,143,21
2022-05-24,43.58,4828.16,0,2022,5,1,144,21
2022-05-25,41.65,4407.27,0,2022,5,2,145,21
2022-05-26,42.78,4463.24,0,2022,5,3,146,21
2022-05-27,43.94,4723.61,0,2022,5,4,147,21
2022-05-28,37.49,6285.94,1,2022,5,5,148,21
2022-05-29,43.49,4757.42,0,2022,5,6,149,21
2022-05-30,43.93,4137.45,0,2022,5,0,150,22
2022-05-31,46.34,4867.65,0,2022,5,1,151,22
2022-06-01,43.99,4280.13,0,2022,6,2,152,22
2022-06-02,42.61,4389.46,0,2022,6,3,153,22
2022-06-03,39.27,4978.07,0,2022,6,4,154,22
2022-06-04,40.95,4616.65,0,2022,6,5,155,22
2022-06-05,41.93,4745.96,0,2022,6,6,156,22
2022-06-06,41.29,4038.65,0,2022,6,0,157,23
2022-06-07,41.61,4754.94,0,2022,6,1,158,23
2022-06-08,40.01,4815.08,0,2022,6,2,159,23
2022-06-09,42.64,4465.17,0,2022,6,3,160,23
2022-06-10,41.91,4032.4,0,2022,6,4,161,23
2022-06-11,46.71,4350.87,0,2022,6,5,162,23
2022-06-12,45.07,4485.3,0,2022,6,6,163,23
2022-06-13,42.94,4492.86,0,2022,6,0,164,24
2022-06-14,41.85,4106.85,0,2022,6,1,165,24
2022-06-15,39.45,5255.97,0,2022,6,2,166,24
2022-06-16,40.48,4534.43,0,2022,6,3,167,24
2022-06-17,39.71,4697.61,0,2022,6,4,168,24
2022-06-18,41.39,3957.89,0,2022,6,5,169,24
2022-06-19,40.34,5211.5,0,2022,6,6,170,24
2022-06-20,42.01,4509.6,0,2022,6,0,171,25
2022-06-21,42.17,4670.86,0,2022,6,1,172,25
2022-06-22,41.16,5028.28,0,2022,6,2,173,25
2022-06-23,42.77,4408.72,0,2022,6,3,174,25
2022-06-24,39.23,6357.45,1,2022,6,4,175,25
2022-06-25,46.16,3823.82,0,2022,6,5,176,25
2022-06-26,43.43,4744.02,0,2022,6,6,177,25
2022-06-27,42.34,5104.57,0,2022,6,0,178,26
2022-06-28,43.94,4378.9,0,2022,6,1,179,26
2022-06-29,40.52,5059.58,0,2022,6,2,180,26
2022-06-30,42.56,5172.13,0,2022,6,3,181,26
2022-07-01,42.82,4532.74,0,2022,7,4,182,26
2022-07-02,41.14,4591.51,0,2022,7,5,183,26
2022-07-03,39.39,4510.8,0,2022,7,6,184,26
2022-07-04,39.32,4630.96,0,2022,7,0,185,27
2022-07-05,36.95,4657.82,0,2022,7,1,186,27
2022-07-06,38.06,4577.31,0,2022,7,2,187,27
2022-07-07,40.55,5082.16,0,2022,7,3,188,27
2022-07-08,40.66,4479.85,0,2022,7,4,189,27
2022-07-09,43.53,4651.14,0,2022,7,5,190,27
2022-07-10,45.9,4466.45,0,2022,7,6,191,27
2022-07-11,46.92,4853.64,0,2022,7,0,192,28
2022-07-12,45.97,4300.77,0,2022,7,1,193,28
2022-07-13,41.35,4796.71,0,2022,7,2,194,28
2022-07-14,40.42,4966.12,0,2022,7,3,195,28
2022-07-15,40.47,5173.22,0,2022,7,4,196,28
2022-07-16,39.23,4632.96,0,2022,7,5,197,28
2022-07-17,39.35,4597.07,0,2022,7,6,198,28
2022-07-18,41.92,4335.57,0,2022,7,0,199,29
2022-07-19,38.7,5485.71,0,2022,7,1,200,29
2022-07-20,41.53,5088.82,0,2022,7,2,201,29
2022-07-21,42.03,4635.78,0,2022,7,3,202,29
2022-07-22,41.39,5259.69,0,2022,7,4,203,29
2022-07-23,39.44,4747.32,0,2022,7,5,204,29
2022-07-24,37.83,5075.83,0,2022,7,6,205,29
2022-07-25,35.6,4973.25,0,2022,7,0,206,30
2022-07-26,39.1,4914.47,0,2022,7,1,207,30
2022-07-27,41.36,4769.76,0,2022,7,2,208,30
2022-07-28,38.62,4691.67,0,2022,7,3,209,30
2022-07-29,38.09,5173.06,0,2022,7,4,210,30
2022-07-30,39.33,4998.23,0,2022,7,5,211,30
2022-07-31,39.23,5096.86,0,2022,7,6,212,30
2022-08-01,36.86,5003.11,0,2022,8,0,213,31
2022-08-02,37.22,4617.26,0,2022,8,1,214,31
